Rule_no,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,Overall
Rule: 0,Reversible,Reversible,Reversible,Non,Non,Non,Non,Non,Non,Non
Rule: 1,Non,Non,Non,Non,Non,Non,Non,Reversible,Reversible,Non
Rule: 2,Reversible,Non,Reversible,Non,Reversible,Non,Non,Non,Non,Non
Rule: 3,Reversible,Reversible,Non,Non,Non,Reversible,Reversible,Reversible,Reversible,Reversible
Rule: 4,Reversible,Reversible,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 5,Reversible,Non,Non,Non,Non,Non,Reversible,Non,Reversible,Non
Rule: 6,Non,Non,Non,Non,Reversible,Non,Non,Non,Non,Non
Rule: 7,Reversible,Non,Non,Non,Non,Non,Non,Non,Reversible,Non
Rule: 8,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 9,Non,Non,Non,Non,Non,Non,Non,Reversible,Reversible,Non
Rule: 10,Reversible,Non,Non,Reversible,Non,Non,Non,Non,Non,Non
Rule: 11,Reversible,Reversible,Non,Non,Non,Non,Reversible,Non,Non,Non
Rule: 12,Reversible,Non,Reversible,Non,Non,Non,Non,Non,Non,Non
Rule: 13,Reversible,Reversible,Reversible,Non,Non,Non,Non,Reversible,Reversible,Reversible
Rule: 14,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 15,Non,Reversible,Reversible,Non,Reversible,Non,Non,Non,Reversible,Non
Rule: 16,Reversible,Non,Reversible,Non,Non,Non,Non,Non,Non,Non
Rule: 17,Reversible,Non,Non,Non,Non,Non,Non,Non,Reversible,Non
Rule: 18,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 19,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 20,Reversible,Non,Reversible,Non,Non,Non,Non,Non,Non,Non
Rule: 21,Non,Non,Reversible,Non,Non,Non,Non,Reversible,Reversible,Non
Rule: 22,Reversible,Reversible,Reversible,Reversible,Non,Non,Non,Non,Non,Non
Rule: 23,Reversible,Non,Non,Non,Non,Non,Reversible,Non,Reversible,Non
Rule: 24,Reversible,Non,Non,Reversible,Non,Non,Non,Non,Non,Non
Rule: 25,Reversible,Reversible,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 26,Reversible,Non,Reversible,Non,Reversible,Non,Non,Non,Non,Non
Rule: 27,Reversible,Non,Non,Reversible,Non,Non,Reversible,Non,Reversible,Non
Rule: 28,Reversible,Reversible,Non,Non,Non,Non,Non,Non,Non,Non
